Unique_ID,Year,Make,Model,Price,ConsumerRating,SellerRating,MinMPG,MaxMPG,Mileage,Sales
1001,2019,Toyota,Sienna SE,39998,4.6,3.3,19,27,29403,14
1002,2018,Ford,F-150 Lariat,49985,4.8,4.8,19,24,32929,20
1003,2017,RAM,1500 Laramie,41860,4.7,4.6,15,21,23173,39
1004,2021,Honda,Accord Sport SE,28500,5,4.6,29,35,10598,38
1005,2020,Lexus,RX 350,49000,4.8,4.8,20,27,28137,36
1006,2012,Toyota,4Runner SR5,23541,4.7,4.4,17,23,105469,39
1007,2017,Honda,HR-V LX,20995,4.6,4.4,28,34,10458,37
1008,2014,Mercedes-Benz,E-Class E 350,18985,4.8,4.4,21,30,58157,17
1009,2021,Honda,Pilot Touring 8-Passenger,44299,4.8,4.9,19,26,14445,24
1010,2020,Dodge,Charger Scat Pack,46773,4.8,4.3,15,24,25642,33
1011,2017,Lexus,RC 350 Base,42734,4.8,4.8,19,28,10236,29
1012,2013,Lexus,GS 350 Base,16990,4.7,5,19,28,48605,17
1013,2017,Lexus,RX 350 RX 350,36450,4.7,4.9,20,27,47729,25
1014,2020,Dodge,Charger Scat Pack,47500,4.8,4.7,15,24,31538,22
1015,2020,Dodge,Charger Scat Pack,41000,4.8,4.5,15,24,18717,36
1016,2017,Lexus,RC 350 Base,41493,4.8,4.6,19,28,34102,22
1017,2018,Ford,Explorer XLT,32995,4.8,5,16,22,61294,39
1018,2021,Subaru,Crosstrek Premium,25500,4.8,4.4,28,33,11508,23
1019,2018,Ford,Explorer XLT,33341,4.8,3.9,16,22,81375,28
1020,2018,Ford,Explorer XLT,30489,4.8,3,17,24,28357,32
1021,2018,Ford,Explorer XLT,32489,4.8,3,16,22,33188,24
1022,2021,Acura,RDX A-Spec,37000,4.8,4.2,21,26,5188,30
1023,2021,Acura,RDX A-Spec,38000,4.8,4.2,21,26,12878,27
1024,2018,Ford,Explorer XLT,31672,4.8,4.9,16,22,47661,16
1025,2021,Subaru,Forester Sport,29500,4.9,4.6,26,33,10859,38
1026,2018,Subaru,Crosstrek 2.0i Premium,31995,4.8,4,27,33,30849,22
1027,2018,Subaru,Crosstrek 2.0i Premium,24561,4.8,4.6,27,33,86759,18
1028,2018,Subaru,Crosstrek 2.0i Premium,24921,4.8,1,27,33,61053,21
1029,2016,BMW,435 Gran Coupe i xDrive,30995,4.8,5,20,30,65219,16
1030,2016,BMW,435 Gran Coupe i xDrive,30995,4.8,5,20,30,63055,11
1031,2019,Honda,Odyssey EX-L,38347,4.6,5,19,28,64571,33
1032,2016,Honda,Odyssey EX-L,28999,4.7,4.7,19,28,56000,27
1033,2020,Mercedes-Benz,GLC 300 Base,43451,4.8,4.7,22,29,34768,18
1034,2019,Audi,Q5 2.0T Premium,37300,4.7,4.8,22,27,26012,16
1035,2014,BMW,428 i,27741,4.8,4.3,23,34,48531,40
1036,2019,Volvo,XC60 T5 Momentum,40782,4.9,4.9,20,27,10969,40
1037,2019,Honda,Odyssey EX-L,38900,4.6,4.8,19,28,32201,10
1038,2019,Lincoln,MKZ Standard,30691,4.9,4.7,20,31,34686,23
1039,2020,Subaru,Ascent Touring 7-Passenger,31754,4.8,4.7,20,26,47226,33
1040,2017,Land,Rover Range Rover Evoque SE Premium,34555,4.3,4.7,21,29,39855,39
1041,2022,Acura,MDX A-Spec,58995,4.9,4.6,19,25,12531,10
